id;description;image_url;isavailable;product_id
1;24/365;payment;false;1
2;extend Sausages;Research Equatorial;true;2
3;fresh-thinking white Metal;Buckinghamshire Account Soft;false;3
4;cross-platform Plastic Investment;Card;true;4
5;firewall;Wooden Ergonomic Fantastic;false;5
6;Glens withdrawal payment;Tenge Handmade Oklahoma;false;6
7;Gloves;framework synthesize;true;7
8;Peso application;hack Dynamic;true;8
9;Assurance vertical;Cambridgeshire;false;9
10;Berkshire;Soft Supervisor Guyana;true;10
